drug_name,smiles,tokens
acetohydroxamic acid,CC(=O)NO,"['CC(=O)N', 'O']"
meloxicam,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,"['CN1', 'C(C(=O)N', 'C2=N', 'C=C(C)', 'S', '2)', '=C(O)', 'C2=C(', 'C=', 'CC', '=C', '2)', 'S1(=O)=O']"
chromium picolinate,[Cr+3].[O-]C(=O)C1=NC=CC=C1.[O-]C(=O)C1=NC=CC=C1.[O-]C(=O)C1=NC=CC=C1,"['[Cr+3]', '.', '[O-]', 'C(=O)', 'C1=N', 'C=', 'CC', '=C1', '.', '[O-]', 'C(=O)', 'C1=N', 'C=', 'CC', '=C1', '.', '[O-]', 'C(=O)', 'C1=N', 'C=', 'CC', '=C1']"
oxitriptan,N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O,"['N[C@@H](', 'CC1=', 'CN', 'C2', '=C1', 'C=C(', 'O)', 'C=C', '2)', 'C(O)=O']"
chlorthalidone,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,"['NS(=O)(=O)', 'C1=C(', 'Cl)', 'C=CC(', '=', 'C1)', 'C1(O)', 'NC(=O)', 'C2=', 'CC=', 'CC', '=C1', '2']"
indapamide,CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O,"['CC1', 'CC2', '=', 'CC=', 'CC', '=C2', 'N1', 'NC(=O)', 'C1=', 'CC(', '=C(', 'Cl)', 'C=', 'C1)', 'S(N)', '(=O)=O']"
lidocaine,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,"['CCN(CC)', 'CC(=O)N', 'C1=C(C)', 'C=', 'CC', '=C1', 'C']"
tizanidine,ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1,"['Cl', 'C1=C(', 'N', 'C2=N', 'CCN', '2)', 'C2=N', 'S', 'N=C2', 'C=C1']"
piperacillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O,"['[H]', '[C@]12', 'S', 'C(C)(C)', '[C@@H](', 'N1C(=O)', '[C@H]2', 'NC(=O)[C@H](', 'NC(=O)N1', 'CCN(CC)C(=O)', 'C1=O)', 'C1=', 'CC=', 'CC=', 'C1)', 'C(O)=O']"
teriflunomide,C\C(O)=C(/C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F,"['C', '\\', 'C(O)=C(', '/C', '#N)', 'C(=O)N', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(F)(F)F']"
metamfetamine,CN[C@@H](C)CC1=CC=CC=C1,"['CN', '[C@@H](C)', 'CC1=', 'CC=', 'CC', '=C1']"
droperidol,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12,"['F', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(=O)', 'CCCN1', 'CCC(', '=', 'CC1)', 'N1', 'C(=O)N', 'C2=', 'CC=', 'CC', '=C1', '2']"
temazepam,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,"['CN1', 'C2=C(', 'C=C(', 'Cl)', 'C=C', '2)', 'C(=N', 'C(O)', 'C1=O)', 'C1=', 'CC=', 'CC', '=C1']"
chloroprocaine,CCN(CC)CCOC(=O)C1=C(Cl)C=C(N)C=C1,"['CCN(CC)', 'CCOC(=O)', 'C1=C(', 'Cl)', 'C=C(', 'N)', 'C=C1']"
sodium citrate,[Na+].[Na+].[Na+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,"['[Na+]', '.', '[Na+]', '.', '[Na+]', '.', 'OC(', 'CC(', '[O-])', '=O)(', 'CC(', '[O-])', '=O)', 'C(', '[O-])', '=O']"
eltrombopag,CC1=NN(C(=O)\C1=N/NC1=CC=CC(C2=CC=CC(=C2)C(O)=O)=C1O)C1=CC=C(C)C(C)=C1,"['CC1=N', 'N(C(=O)', '\\', 'C1=N', '/N', 'C1=', 'CC=', 'CC(', 'C2=', 'CC=', 'CC(', '=C', '2)', 'C(O)=O)', '=C1', 'O)', 'C1=', 'CC', '=C(C)', 'C(C)', '=C1']"
melphalan,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,"['N[C@@H](', 'CC1=', 'CC', '=C(', 'C=', 'C1)', 'N(CCCl)CC', 'Cl)', 'C(O)=O']"
amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,"['CCOC(=O)', 'C1=C(', 'CO', 'CC', 'N)N', 'C(C)=C(', 'C1', 'C1=', 'CC=', 'CC', '=C1', 'Cl)', 'C(=O)OC']"
tetrabenazine,COC1=C(OC)C=C2C3CC(=O)C(CC(C)C)CN3CCC2=C1,"['CO', 'C1=C(', 'OC)', 'C=C2', 'C3', 'CC(=O)', 'C(', 'CC(C)C)', 'CN3', 'CCC2', '=C1']"
zinc acetate,[Zn++].CC([O-])=O.CC([O-])=O,"['[Zn++]', '.', 'CC(', '[O-])', '=O', '.', 'CC(', '[O-])', '=O']"
fosaprepitant,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N(N2)P(O)(O)=O)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,"['C[C@@H](', 'O[C@H]1', 'OCCN(', 'CC2', '=', 'NC(=O)', 'N(', 'N2)', 'P(O)(O)=O)', '[C@H]1', 'C1=', 'CC', '=C(', 'F)', 'C=', 'C1)', 'C1=', 'CC(', '=', 'CC(', '=', 'C1)', 'C(F)(F)F)', 'C(F)(F)F']"
simethicone,O=[Si]=O.CO[Si](C)(C)O[Si](C)(C)C,"['O=', '[Si]', '=O', '.', 'CO', '[Si]', '(C)(C)', 'O', '[Si]', '(C)', '(C)C']"
chlorphenesin,OCC(O)COC1=CC=C(Cl)C=C1,"['OCC(O)', 'CO', 'C1=', 'CC', '=C(', 'Cl)', 'C=C1']"
safinamide,C[C@H](NCC1=CC=C(OCC2=CC(F)=CC=C2)C=C1)C(N)=O,"['C[C@H](N', 'CC1=', 'CC', '=C(', 'OCC2', '=', 'CC', '(F)', '=', 'CC', '=C', '2)', 'C=', 'C1)', 'C(N)=O']"
aliskiren,COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1,"['CO', 'CCCO', 'C1=C(', 'OC)', 'C=CC(', 'C[C@@H](', 'C[C@H](N)', '[C@@H](O)', 'C[C@@H](', 'C(C)C)', 'C(=O)N', 'CC(C)(C)', 'C(N)=O)', 'C(C)C)', '=C1']"
memantine,CC12CC3CC(C)(C1)CC(N)(C3)C2,"['CC12', 'CC3', 'CC(C)(', 'C1)', 'CC(N)', '(', 'C3)C2']"
alpelisib,CC1=C(SC(NC(=O)N2CCC[C@H]2C(N)=O)=N1)C1=CC(=NC=C1)C(C)(C)C(F)(F)F,"['CC1=C(', 'S', 'C(N', 'C(=O)N2', 'CCC[C@H]2', 'C(N)=O)', '=N1', ')', 'C1=', 'CC(', '=N', 'C=', 'C1)', 'C(C)(C)', 'C(F)(F)F']"
cedazuridine,OC[C@H]1O[C@@H](N2CC[C@@H](O)NC2=O)C(F)(F)[C@@H]1O,"['OC[C@H]1O[C@@H](', 'N2CC', '[C@@H](O)', 'N', 'C2=O)', 'C(F)(F)', '[C@@H]1O']"
sapropterin,[H][C@@]1(CNC2=C(N1)C(=O)NC(N)=N2)[C@@H](O)[C@H](C)O,"['[H]', '[C@@]1(', 'CN', 'C2=C(', 'N1)', 'C(=O)N', 'C(N)=N', '2)', '[C@@H](O)', '[C@H](C)', 'O']"
macitentan,CCCNS(=O)(=O)NC1=C(C(OCCOC2=NC=C(Br)C=N2)=NC=N1)C1=CC=C(Br)C=C1,"['CCCN', 'S(=O)(=O)N', 'C1=C(', 'C(', 'OCCO', 'C2=N', 'C=C(', 'Br)', 'C=N', '2)', '=N', 'C=', 'N1)', 'C1=', 'CC', '=C(', 'Br)', 'C=C1']"
clomifene,CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,"['CCN(CC)', 'CCO', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(', '=C(', 'Cl)', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']"
oxazepam,OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,"['OC1', 'N=C(', 'C2=', 'CC=', 'CC', '=C', '2)', 'C2=C(', 'N', 'C1=O)', 'C=CC(', 'Cl)', '=C2']"
mazindol,OC1(N2CCN=C2C2=CC=CC=C12)C1=CC=C(Cl)C=C1,"['O', 'C1(', 'N2', 'CCN', '=C2', 'C2=', 'CC=', 'CC', '=C1', '2)', 'C1=', 'CC', '=C(', 'Cl)', 'C=C1']"
paliperidone,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCC(O)C2=N1,"['CC1=C(', 'CCN2', 'CCC(', 'CC2)', 'C2=N', 'OC3', '=C2', 'C=', 'CC', '(F)', '=C', '3)', 'C(=O)N2', 'CCCC', '(O)', 'C2=', 'N1']"
dotatate,C[C@@H](O)[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)CN2CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC2)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)C(O)=O,"['C[C@@H](O)', '[C@H](NC(=O)', '[C@@H]1', 'CS', 'S', 'C[C@H](NC(=O)', '[C@@H](', 'CC2', '=', 'CC=', 'CC', '=C', '2)', 'NC(=O)', 'CN2CCN(', 'CC(O)=O)', 'CCN(', 'CC(O)=O)', 'CCN(', 'CC(O)=O)', 'CC2)', 'C(=O)N[C@@H](', 'CC2', '=', 'CC', '=C(O)', 'C=C', '2)', 'C(=O)N[C@H](', 'CC2', '=', 'CN', 'C3', '=C2', 'C=', 'CC', '=C', '3)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', '[C@@H](C)O)', 'C(=O)N', '1)', 'C(O)=O']"
tedizolid,CN1N=NC(=N1)C1=NC=C(C=C1)C1=C(F)C=C(C=C1)N1C[C@H](CO)OC1=O,"['CN1', 'N', '=N', 'C(=', 'N1)', 'C1=N', 'C=C(', 'C=', 'C1)', 'C1=C(', 'F)', 'C=C(', 'C=', 'C1)', 'N1', 'C[C@H](', 'CO)', 'OC1=O']"
mephenytoin,CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1,"['CCC1', '(N', 'C(=O)N(C)', 'C1=O)', 'C1=', 'CC=', 'CC', '=C1']"
etacrynic acid,CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1,"['CCC(', '=C)', 'C(=O)', 'C1=C(', 'Cl)', 'C(Cl)', '=C(', 'OCC', '(O)=O)', 'C=C1']"
doxacurium,COC1=CC(CC2C3=C(OC)C(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCC3=CC(OC)=C(OC)C(OC)=C3C2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC,"['CO', 'C1=', 'CC(', 'CC2', 'C3=C(', 'OC)', 'C(OC)', '=C(', 'OC)', 'C=C3', 'CC', '[N+]2', '(C)CC', 'COC(=O)', 'CC', 'C(=O)OCC', 'C', '[N+]2', '(C)', 'CCC3', '=', 'CC(', 'OC)', '=C(', 'OC)', 'C(OC)', '=C3', 'C2', 'CC2', '=', 'CC(', 'OC)', '=C(', 'OC)', 'C(OC)', '=C', '2)', '=', 'CC(', 'OC)', '=C1', 'OC']"
desloratadine,ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1,"['Cl', 'C1=', 'CC2', '=C(', 'C=', 'C1)', 'C(=', 'C1', 'CCN', 'CC1)', 'C1=C(', 'CC2)', 'C=', 'CC=', 'N1']"
benzhydrocodone,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CC=C2OC(=O)C1=CC=CC=C1,"['[H]', '[C@@]12', 'OC3', '=C(', 'OC)', 'C=', 'CC4', '=C3', '[C@@]1', '1', 'CCN(C)', '[C@](', '[H]', ')', '(C', '4)', '[C@]1(', '[H]', ')', 'CC', '=C2', 'OC(=O)', 'C1=', 'CC=', 'CC', '=C1']"
metaxalone,CC1=CC(OCC2CNC(=O)O2)=CC(C)=C1,"['CC1=', 'CC(', 'OCC2', 'CN', 'C(=O)O', '2)', '=', 'CC(C)', '=C1']"
gefitinib,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,"['CO', 'C1=C(', 'OCC', 'CN2', 'CCOCC2)', 'C=C2', 'C(N', 'C3=', 'CC(', 'Cl)', '=C(', 'F)', 'C=C', '3)', '=N', 'C=N', 'C2', '=C1']"
velpatasvir,COC[C@H]1C[C@H](N(C1)C(=O)[C@H](NC(=O)OC)C1=CC=CC=C1)C1=NC=C(N1)C1=CC=C2C(COC3=CC4=C(C=CC5=C4NC(=N5)[C@@H]4CC[C@H](C)N4C(=O)[C@@H](NC(=O)OC)C(C)C)C=C23)=C1,"['CO', 'C[C@H]1', 'C[C@H](', 'N(', 'C1)', 'C(=O)', '[C@H](NC(=O)', 'OC)', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=N', 'C=C(', 'N1)', 'C1=', 'CC', '=C2', 'C(CO', 'C3=', 'CC4', '=C(', 'C=', 'CC5', '=C4', 'NC(', '=N', '5)', '[C@@H]4', 'CC[C@H](C)', 'N4', 'C(=O)', '[C@@H](NC(=O)', 'OC)', 'C(C)C)', 'C=C2', '3)', '=C1']"
telavancin,CCCCCCCCCCNCCN[C@@]1(C)C[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=C3OC4=CC=C(C=C4Cl)[C@@H](O)[C@@H](NC(=O)[C@@H](CC(C)C)NC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]4C(C=C2OC2=C(Cl)C=C(C=C2)[C@@H](O)[C@@H]2NC(=O)[C@H](NC4=O)C4=CC(=C(O)C=C4)C4=C(O)C(CNCP(O)(O)=O)=C(O)C=C4[C@H](NC2=O)C(O)=O)=C3)O[C@@H](C)[C@H]1O,"['CCCCCCCC', 'CCN', 'CCN', '[C@@]1', '(C)C', '[C@H](', 'O[C@@H]2', '[C@@H](O)[C@H](O)', '[C@@H](CO)', 'O[C@H]2', 'OC2', '=C3', 'OC4', '=', 'CC', '=C(', 'C=C', '4', 'Cl)', '[C@@H](O)', '[C@@H](NC(=O)', '[C@@H](CC(C)C)', 'N', 'C)', 'C(=O)N[C@@H](', 'CC(N)=O)', 'C(=O)N', '[C@@H]4', 'C(', 'C=C2', 'O', 'C2=C(', 'Cl)', 'C=C(', 'C=C', '2)', '[C@@H](O)', '[C@@H]2', 'NC(=O)[C@H](', 'N', 'C4=O)', 'C4', '=', 'CC(', '=C(O)', 'C=C', '4)', 'C4', '=C(O)', 'C(', 'CNC', 'P(O)(O)=O)', '=C(O)', 'C=C', '4', '[C@H](N', 'C2=O)', 'C(O)=O)', '=C', '3)', 'O', '[C@@H](C)', '[C@H]1O']"
lasmiditan,CN1CCC(CC1)C(=O)C1=CC=CC(NC(=O)C2=C(F)C=C(F)C=C2F)=N1,"['CN1CCC(', 'CC1)', 'C(=O)', 'C1=', 'CC=', 'CC(NC(=O)', 'C2=C(', 'F)', 'C=C(', 'F)', 'C=C2', 'F)', '=N1']"
tazemetostat,CCN(C1CCOCC1)C1=C(C)C(=CC(=C1)C1=CC=C(CN2CCOCC2)C=C1)C(=O)NCC1=C(C)C=C(C)NC1=O,"['CCN(', 'C1', 'CCOCC1)', 'C1=C(C)', 'C(=', 'CC(', '=', 'C1)', 'C1=', 'CC', '=C(', 'CN2', 'CCOCC2)', 'C=', 'C1)', 'C(=O)N', 'CC1', '=C(C)', 'C=C(C)', 'NC1=O']"
ondansetron,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2,"['CN1', 'C2=C(', 'C3=', 'CC=', 'CC', '=C1', '3)', 'C(=O)C(', 'CN1', 'C=', 'CN', '=C1', 'C)', 'CC2']"
alosetron,CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)NC=N1)CC2,"['CN1', 'C2=C(', 'C3=', 'CC=', 'CC', '=C1', '3)', 'C(=O)N(', 'CC1', '=C(C)', 'N', 'C=', 'N1)', 'CC2']"
fluticasone,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,"['[H]', '[C@@]12', 'C[C@@H](C)', '[C@](O)(', 'C(=O)', 'SC', 'F)', '[C@@]1', '(C)C', '[C@H](O)', '[C@@]1', '(F)', '[C@@]2(', '[H]', ')', 'C[C@H](', 'F)', 'C2=', 'CC(=O)', 'C=C', '[C@]12C']"
paroxetine,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,"['F', 'C1=', 'CC', '=C(', 'C=', 'C1)', '[C@@H]1', 'CCN', 'C[C@H]1', 'CO', 'C1=', 'CC2', '=C(', 'OCO2)', 'C=C1']"
bivalirudin,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,"['CC[C@H](C)', '[C@H](', 'NC(=O)[C@H](', 'CCC(O)=O)', 'NC(=O)[C@H](', 'CCC(O)=O)', 'NC(=O)[C@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'NC(=O)[C@H](', 'CC(O)=O)', 'NC(=O)', 'CNC(=O)', '[C@H](', 'CC(N)=O)', 'NC(=O)', 'CNC(=O)', 'CNC(=O)', 'CNC(=O)', 'CNC(=O)', '[C@@H]1', 'CCCN1C(=O)', '[C@H](', 'CCCN', 'C(N)=N)', 'NC(=O)[C@@H]1', 'CCCN1C(=O)', '[C@H](N)', 'CC1=', 'CC=', 'CC=', 'C1)', 'C(=O)N1CCC[C@H]1', 'C(=O)N[C@@H](', 'CCC(O)=O)', 'C(=O)N[C@@H](', 'CCC(O)=O)', 'C(=O)N[C@@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'C(=O)N[C@@H](CC(C)C)', 'C(O)=O']"
iodipamide,OC(=O)C1=C(I)C(NC(=O)CCCCC(=O)NC2=C(I)C=C(I)C(C(O)=O)=C2I)=C(I)C=C1I,"['OC(=O)', 'C1=C(', 'I)', 'C(NC(=O)', 'CCCC', 'C(=O)N', 'C2=C(', 'I)', 'C=C(', 'I)', 'C(C(O)=O)', '=C2', 'I)', '=C(', 'I)', 'C=C1', 'I']"
attapulgite,[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Mg++].[Al+3].[Si+4].[Si+4].[Si+4].[Si+4].[O-][H].[H]O[H].[H]O[H].[H]O[H].[H]O[H],"['[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[Mg++]', '.', '[Al+3]', '.', '[Si+4]', '.', '[Si+4]', '.', '[Si+4]', '.', '[Si+4]', '.', '[O-]', '[H]', '.', '[H]', 'O', '[H]', '.', '[H]', 'O', '[H]', '.', '[H]', 'O', '[H]', '.', '[H]', 'O', '[H]']"
zalcitabine,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,"['N', 'C1=', 'NC(=O)', 'N(', 'C=', 'C1)', '[C@H]1', 'CC[C@@H](', 'CO)', 'O1']"
desogestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H],"['[H]', '[C@@]12', 'CC', '[C@@](O)(', 'C#', 'C)', '[C@@]1', '(CC)', 'CC(', '=C)', '[C@]1(', '[H]', ')', '[C@@]3(', '[H]', ')', 'CCCC', '=C3', 'CC', '[C@@]21', '[H]']"
dyphylline,CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O,"['CN1', 'C2=C(', 'N(', 'CC(O)', 'CO)', 'C=N', '2)', 'C(=O)N(C)', 'C1=O']"
neratinib,CCOC1=C(NC(=O)\C=C\CN(C)C)C=C2C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C(C=NC2=C1)C#N,"['CCO', 'C1=C(', 'NC(=O)', '\\', 'C=C\\', 'CN(C)C)', 'C=C2', 'C(N', 'C3=', 'CC', '=C(', 'OCC', '4', '=', 'CC=', 'CC', '=N', '4)', 'C(Cl)', '=C', '3)', '=C(', 'C=N', 'C2=', 'C1)', 'C#N']"
milnacipran,CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1,"['CCN(CC)C(=O)', 'C1(', 'CC1', 'CN)', 'C1=', 'CC=', 'CC', '=C1']"
desipramine,CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12,"['CN', 'CCCN1', 'C2=', 'CC=', 'CC', '=C2', 'CCC2', '=', 'CC=', 'CC', '=C1', '2']"
etidronic acid,CC(O)(P(O)(O)=O)P(O)(O)=O,"['CC(O)(', 'P(O)(O)=O)', 'P(O)(O)', '=O']"
triazolam,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12,"['CC1=N', 'N=C2', 'CN=C(', 'C3=', 'CC=', 'CC', '=C3', 'Cl)', 'C3=C(', 'C=CC(', 'Cl)', '=C', '3)', 'N12']"
trimethaphan,O=C1N(CC2=CC=CC=C2)C2C[S+]3CCCC3C2N1CC1=CC=CC=C1,"['O=C1N(', 'CC2', '=', 'CC=', 'CC', '=C', '2)', 'C2', 'C', '[S+]', '3', 'CCCC3', 'C2', 'N1', 'CC1=', 'CC=', 'CC', '=C1']"
quazepam,FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2,"['F', 'C1=', 'CC=', 'CC', '=C1', 'C1=N', 'CC(', '=S)', 'N(CC', '(F)(F)F)', 'C2', '=C1', 'C=C(', 'Cl)', 'C=C2']"
pralsetinib,CO[C@]1(CC[C@@H](CC1)C1=NC(NC2=NNC(C)=C2)=CC(C)=N1)C(=O)N[C@@H](C)C1=CC=C(N=C1)N1C=C(F)C=N1,"['CO', '[C@]1(', 'CC[C@@H](', 'CC1)', 'C1=N', 'C(N', 'C2=N', 'N', 'C(C)', '=C', '2)', '=', 'CC(C)', '=N1', ')', 'C(=O)N[C@@H](C)', 'C1=', 'CC', '=C(', 'N=', 'C1)', 'N1', 'C=C(', 'F)', 'C=', 'N1']"
cidofovir,NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,"['N', 'C1=', 'NC(=O)', 'N(', 'C[C@@H](CO)', 'OC', 'P(O)(O)=O)', 'C=C1']"
oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,"['[H]', '[N]', '1', '(', '[H]', ')', '[C@@H]2', 'CCCC', '[C@H]2', '[N]', '(', '[H]', ')', '(', '[H]', ')', '[Pt]', '1', '1', 'OC(=O)', 'C(=O)O1']"
oxybutynin,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,"['CCN(CC)', 'CC#', 'CCOC(=O)', 'C(O)(', 'C1CCCCC1)', 'C1=', 'CC=', 'CC', '=C1']"
nitrofurantoin,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,"['[O-]', '[N+](=O)', 'C1=', 'CC', '=C(', 'O1)', '\\', 'C', '=N\\', 'N1', 'CC(=O)N', 'C1=O']"
fosfomycin,C[C@@H]1O[C@@H]1P(O)(O)=O,"['C[C@@H]1', 'O[C@@H]1', 'P(O)(O)', '=O']"
miconazole,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,"['Cl', 'C1=', 'CC(', 'Cl)', '=C(', 'COC(', 'CN2', 'C=', 'CN', '=C', '2)', 'C2=C(', 'Cl)', 'C=C(', 'Cl)', 'C=C', '2)', 'C=C1']"
bromotheophylline,CN1C2=C(NC(Br)=N2)C(=O)N(C)C1=O,"['CN1', 'C2=C(', 'NC(', 'Br)', '=N', '2)', 'C(=O)N(C)', 'C1=O']"
levoleucovorin,NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2C=O)N1,"['N', 'C1=', 'NC(=O)', 'C2=C(', 'N', 'C[C@H](', 'CN', 'C3=', 'CC', '=C(', 'C=C', '3)', 'C(=O)N[C@@H](', 'CCC(O)=O)', 'C(O)=O)', 'N2', 'C=O)', 'N1']"
quinapril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC=CC=C2C[C@H]1C(O)=O,"['CCOC(=O)', '[C@H](', 'CCC1', '=', 'CC=', 'CC=', 'C1)', 'N', '[C@@H](C)', 'C(=O)N1', 'CC2', '=', 'CC=', 'CC', '=C2', 'C[C@H]1', 'C(O)=O']"
zinc sulfate,[Zn++].[O-]S([O-])(=O)=O,"['[Zn++]', '.', '[O-]', 'S(', '[O-])', '(=O)=O']"
flavoxate,CC1=C(OC2=C(C=CC=C2C(=O)OCCN2CCCCC2)C1=O)C1=CC=CC=C1,"['CC1=C(', 'O', 'C2=C(', 'C=', 'CC', '=C2', 'C(=O)OCC', 'N2CCCCC2)', 'C1=O)', 'C1=', 'CC=', 'CC', '=C1']"
triclabendazole,CSC1=NC2=C(N1)C=C(Cl)C(OC1=CC=CC(Cl)=C1Cl)=C2,"['CS', 'C1=N', 'C2=C(', 'N1)', 'C=C(', 'Cl)', 'C(O', 'C1=', 'CC=', 'CC(', 'Cl)', '=C1', 'Cl)', '=C2']"
pravastatin,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,"['[H]', '[C@]12', '[C@H](', 'C[C@H](O)', 'C=C1', 'C=C', '[C@H](C)', '[C@@H]2CC', '[C@@H](O)', 'C[C@@H](O)', 'CC(O)=O)', 'OC(=O)', '[C@@H](C)', 'CC']"
carbinoxamine,CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,"['CN(C)', 'CCOC(', 'C1=', 'CC', '=C(', 'Cl)', 'C=', 'C1)', 'C1=', 'CC=', 'CC=', 'N1']"
