drug_name,tokens
metyrapone,"['CC(C)(', 'C(=O)', 'C1=', 'CN', '=', 'CC=', 'C1)', 'C1=', 'CC=', 'CN', '=C1']"
amyl nitrite,"['CCCC', 'CO', 'N', '=O']"
methylphenidate,"['COC(=O)', 'C(', 'C1CCCC', 'N1)', 'C1=', 'CC=', 'CC', '=C1']"
thiethylperazine,"['CCS', 'C1=', 'CC2', '=C(', 'S', 'C3=', 'CC=', 'CC', '=C3', 'N2', 'CCCN2', 'CCN(C)CC2)', 'C=C1']"
ezetimibe,"['[H]', '[C@]1', '(CC', '[C@H](O)', 'C2=', 'CC', '=C(', 'F)', 'C=C', '2)', 'C(=O)N(', 'C2=', 'CC', '=C(', 'F)', 'C=C', '2)', '[C@]1(', '[H]', ')', 'C1=', 'CC', '=C(O)', 'C=C1']"
nelarabine,"['CO', 'C1=N', 'C(N)=N', 'C2', '=C1', 'N=', 'CN2', '[C@@H]1', 'O[C@H](CO)[C@@H](O)', '[C@@H]1O']"
calcifediol,"['C[C@H](', 'CCCC', '(C)(C)', 'O)', '[C@@]1(', '[H]', ')', 'CC', '[C@@]2(', '[H]', ')', '\\', 'C(', 'CCC', '[C@]12', 'C)', '=C\\', 'C=C1', '\\', 'C[C@@H](O)', 'CCC1', '=C']"
mitotane,"['Cl', 'C(Cl)', 'C(', 'C1=', 'CC', '=C(', 'Cl)', 'C=', 'C1)', 'C1=', 'CC=', 'CC', '=C1', 'Cl']"
clofarabine,"['[H]', '[C@]1', '(F)', '[C@H](O)', '[C@@H](CO)', 'O[C@H]1', 'N1C', '=N', 'C2=C(', 'N)', 'N=C(', 'Cl)', 'N=C1', '2']"
chloroprocaine,"['CCN(CC)', 'CCOC(=O)', 'C1=C(', 'Cl)', 'C=C(', 'N)', 'C=C1']"
aripiprazole,"['Cl', 'C1=', 'CC=', 'CC(', 'N2CCN(', 'CCCC', 'OC3', '=', 'CC4', '=C(', 'CCC(=O)N', '4)', 'C=C', '3)', 'CC2)', '=C1', 'Cl']"
clopidogrel,"['[H]', '[C@@](', 'N1', 'CCC2', '=C(', 'C1)', 'C=C', 'S', '2)', '(', 'C(=O)OC)', 'C1=', 'CC=', 'CC', '=C1', 'Cl']"
estazolam,"['Cl', 'C1=', 'CC2', '=C(', 'C=', 'C1)', 'N1C', '=N', 'N=C1', 'CN', '=C2', 'C1=', 'CC=', 'CC', '=C1']"
icosapent,"['CC', '\\', 'C=C', '/C', '\\', 'C=C', '/C', '\\', 'C=C', '/C', '\\', 'C=C', '/C', '\\', 'C', '=C/', 'CCCC', '(O)=O']"
isradipine,"['COC(=O)', 'C1=C(C)N', 'C(C)=C(', 'C1', 'C1=', 'CC=', 'CC2', '=N', 'O', 'N=C1', '2)', 'C(=O)O', 'C(C)C']"
enasidenib,"['CC(C)(O)', 'CN', 'C1=N', 'C(=N', 'C(N', 'C2=', 'CC(', '=N', 'C=C', '2)', 'C(F)(F)F)', '=N1', ')', 'C1=N', 'C(=', 'CC=', 'C1)', 'C(F)(F)F']"
selenium,['[Se]']
magnesium chloride,"['[Mg++]', '.', '[Cl-]', '.', '[Cl-]']"
netilmicin,"['CCN', '[C@@H]1', 'C[C@H](N)', '[C@@H](', 'O[C@H]2', 'OC(', 'CN)', '=', 'CC[C@H]2', 'N)', '[C@H](O)', '[C@H]1O', '[C@H]1', 'OC', '[C@](C)(O)', '[C@H](N', 'C)', '[C@H]1O']"
ondansetron,"['CN1', 'C2=C(', 'C3=', 'CC=', 'CC', '=C1', '3)', 'C(=O)C(', 'CN1', 'C=', 'CN', '=C1', 'C)', 'CC2']"
rotigotine,"['CCCN(', 'CCC1', '=', 'CC', '=C', 'S', '1)', '[C@H]1', 'CCC2', '=C(O)', 'C=', 'CC', '=C2', 'C1']"
mifepristone,"['[H]', '[C@@]12', 'CC', '[C@@](O)(', 'C#', 'CC)', '[C@@]1', '(C)C', '[C@H](', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'N(C)C)', 'C1', '=C3', 'CCC(=O)', 'C=C3', 'CC', '[C@@]21', '[H]']"
methoxamine,"['CO', 'C1=', 'CC(', 'C(O)', 'C(C)', 'N)', '=C(', 'OC)', 'C=C1']"
clofazimine,"['CC(C)', 'N=C1', 'C=C2', 'N(', 'C3=', 'CC', '=C(', 'Cl)', 'C=C', '3)', 'C3=C(', 'C=', 'CC', '=C', '3)', 'N=C2', 'C=C1', 'N', 'C1=', 'CC', '=C(', 'Cl)', 'C=C1']"
topiramate,"['[H]', '[C@@]12', 'CO', '[C@@]3(', 'CO', 'S(N)(=O)=O)', 'OC(C)(C)', 'O', '[C@@]3(', '[H]', ')', '[C@]1(', '[H]', ')', 'OC(C)(C)', 'O2']"
metaraminol,"['C[C@H](N)', '[C@H](O)', 'C1=', 'CC(O)', '=', 'CC', '=C1']"
amcinonide,"['[H]', '[C@@]12', 'C[C@H]3', 'OC4', '(', 'CCCC4)', 'O', '[C@@]3(', 'C(=O)', 'COC(C)=O)', '[C@@]1', '(C)C', '[C@H](O)', '[C@@]1', '(F)', '[C@@]2(', '[H]', ')', 'CCC2', '=CC(=O)', 'C=C', '[C@]12C']"
valdecoxib,"['CC1=C(', 'C(=N', 'O1)', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'S(N)', '(=O)=O']"
phenylbutazone,"['CCCCC1', 'C(=O)N(', 'N(', 'C1=O)', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']"
raltegravir,"['CN1C(=O)', 'C(O)=C(', 'N=C1', 'C(C)(C)', 'NC(=O)', 'C1=N', 'N', '=C(C)', 'O1)', 'C(=O)N', 'CC1=', 'CC', '=C(', 'F)', 'C=C1']"
ifosfamide,"['Cl', 'CCN', 'P', '1', '(=O)', 'OCC', 'CN1CC', 'Cl']"
valbenazine,"['CO', 'C1=C(', 'OC)', 'C=C2', '[C@H]3', 'C[C@@H](', 'OC(=O)', '[C@@H](N)', 'C(C)C)', '[C@H](CC(C)C)', 'CN3', 'CCC2', '=C1']"
duvelisib,"['C[C@H](', 'NC1', '=C2', 'N=', 'CN', 'C2=N', 'C=', 'N1)', 'C1=', 'CC2', '=', 'CC=', 'CC(', 'Cl)', '=C2', 'C(=O)N1', 'C1=', 'CC=', 'CC', '=C1']"
rocuronium,"['[H]', '[C@@]12', 'C[C@@H](', '[C@H](OC(C)=O)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CC', '[C@@]2(', '[H]', ')', 'C[C@H](O)', '[C@H](', 'C[C@]12', 'C)', 'N1CCOCC1)', '[N+]1', '(', 'CC=C)', 'CCCC1']"
memantine,"['CC12', 'CC3', 'CC(C)(', 'C1)', 'CC(N)', '(', 'C3)C2']"
cefamandole,"['[H]', '[C@]12', 'S', 'CC(', 'CS', 'C3=N', 'N', '=N', 'N3', 'C)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)', '[C@H](O)', 'C1=', 'CC=', 'CC=', 'C1)', 'C(O)=O']"
tetracosactide,"['CS', 'CC[C@H](', 'NC(=O)[C@H](', 'CO)', 'NC(=O)[C@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'NC(=O)', '[C@@H](N)', 'CO)', 'C(=O)N[C@@H](', 'CCC(O)=O)', 'C(=O)N[C@@H](', 'CC1=', 'CN', '=', 'CN', '1)', 'C(=O)N[C@@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N[C@@H](', 'CC1=', 'CN', 'C2', '=C1', 'C=', 'CC', '=C', '2)', 'C(=O)N', 'CC(=O)N[C@@H](', 'CCCCN)', 'C(=O)N1CCC[C@H]1', 'C(=O)N[C@@H](', 'C(C)C)', 'C(=O)N', 'CC(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N[C@@H](', 'CCCN', 'C(N)=N)', 'C(=O)N1CCC[C@H]1', 'C(=O)N[C@@H](', 'C(C)C)', 'C(=O)N[C@@H](', 'CCCCN)', 'C(=O)N[C@@H](', 'C(C)C)', 'C(=O)N[C@@H](', 'CC1=', 'CC', '=C(O)', 'C=', 'C1)', 'C(=O)N1CCC[C@H]1', 'C(O)=O']"
dexbrompheniramine,"['CN(C)', 'CC[C@@H](', 'C1=', 'CC', '=C(', 'Br)', 'C=', 'C1)', 'C1=', 'CC=', 'CC=', 'N1']"
pimavanserin,"['CC(C)', 'CO', 'C1=', 'CC', '=C(', 'CNC(=O)', 'N(', 'CC2', '=', 'CC', '=C(', 'F)', 'C=C', '2)', 'C2', 'CCN(C)CC2)', 'C=C1']"
zanubrutinib,"['NC(=O)', 'C1', '=C2', 'N', 'CC[C@@H](', 'C3CCN(', 'CC3)', 'C(=O)', 'C=C)', 'N2', 'N=C1', 'C1=', 'CC', '=C(', 'O', 'C2=', 'CC=', 'CC', '=C', '2)', 'C=C1']"
digoxin,"['[H]', '[C@]12', 'CC', '[C@]3(', '[H]', ')', '[C@](', '[H]', ')', '(C', '[C@@H](O)', '[C@]4(C)', '[C@H](CC', '[C@]34', 'O)', 'C3', '=CC(=O)', 'OC', '3)', '[C@@]1(C)CC', '[C@@H](', 'C2)', 'O[C@H]1', 'C[C@H](O)', '[C@H](', 'O[C@H]2', 'C[C@H](O)', '[C@H](O', '[C@H]3', 'C[C@H](O)', '[C@H](O)', '[C@@H](C)', 'O3)', '[C@@H](C)', 'O2)', '[C@@H](C)', 'O1']"
vorinostat,"['O', 'NC(=O)', 'CCCC', 'CCC(=O)N', 'C1=', 'CC=', 'CC', '=C1']"
ambenonium,"['CC', '[N+]', '(CC)', '(', 'CCNC(=O)', 'C(=O)NCC', '[N+]', '(CC)', '(CC)', 'CC1=', 'CC=', 'CC', '=C1', 'Cl)', 'CC1=', 'CC=', 'CC', '=C1', 'Cl']"
methionine,"['CS', 'CC[C@H](', 'N)', 'C(O)=O']"
metoclopramide,"['CCN(CC)', 'CCNC(=O)', 'C1=', 'CC(', 'Cl)', '=C(N)', 'C=C1', 'OC']"
dexmedetomidine,"['C[C@H](', 'C1=', 'CN', 'C=', 'N1)', 'C1=C(C)', 'C(C)', '=', 'CC', '=C1']"
nabumetone,"['CO', 'C1=', 'CC2', '=C(', 'C=', 'C1)', 'C=C(', 'CC', 'C(C)=O)', 'C=C2']"
pamidronic acid,"['N', 'CCC(O)(', 'P(O)(O)=O)', 'P(O)(O)', '=O']"
bromocriptine,"['[H]', '[C@@]12', 'CCCN1C(=O)', '[C@H](CC(C)C)', 'N1C(=O)', '[C@](', 'NC(=O)', '[C@H]3', 'CN(C)', '[C@]4', '(', '[H]', ')', 'CC5', '=C(', 'Br)', 'NC', '6', '=', 'CC=', 'CC(', '=C', '5', '6)', 'C4', '=C', '3)', '(O', '[C@@]21', 'O)', 'C(C)C']"
rifamycin,"['CO[C@H]1', '\\', 'C=C\\', 'O', '[C@@]2(C)', 'OC3', '=C(C)', 'C(O)', '=C4', 'C(O)=C(', 'NC(=O)', '\\', 'C(C)', '=C/C=C/', '[C@H](C)', '[C@H](O)', '[C@@H](C)', '[C@@H](O)', '[C@@H](C)', '[C@H](OC(C)=O)', '[C@@H]1', 'C)', 'C=C(', 'O)', 'C4', '=C3', 'C2=O']"
streptozocin,"['CN(', 'N', '=O)', 'C(=O)N[C@H]1', '[C@@H](O)', 'O[C@H](CO)[C@@H](O)', '[C@@H]1O']"
isoxsuprine,"['C[C@H](', 'CO', 'C1=', 'CC=', 'CC=', 'C1)', 'N', '[C@H](C)', '[C@@H](O)', 'C1=', 'CC', '=C(O)', 'C=C1']"
pirbuterol,"['CC(C)(C)N', 'CC(O)', 'C1=N', 'C(CO)', '=C(O)', 'C=C1']"
zileuton,"['CC(', 'N(O)', 'C(N)=O)', 'C1=', 'CC2', '=', 'CC=', 'CC', '=C2', 'S1']"
trimethaphan,"['O=C1N(', 'CC2', '=', 'CC=', 'CC', '=C', '2)', 'C2', 'C', '[S+]', '3', 'CCCC3', 'C2', 'N1', 'CC1=', 'CC=', 'CC', '=C1']"
sulfadiazine,"['N', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'S(=O)(=O)N', 'C1=N', 'C=', 'CC=', 'N1']"
doravirine,"['CN1', 'C(=O)N', 'N=C1', 'CN1', 'C=CC(', '=C(', 'O', 'C2=', 'CC(', '=', 'CC(', 'Cl)', '=C', '2)', 'C#N)', 'C1=O)', 'C(F)(F)F']"
vigabatrin,"['NC(', 'CCC(O)=O)', 'C=C']"
hexaminolevulinate,"['[H]', 'N(', '[H]', ')', 'CC(=O)', 'CCC(=O)O', 'CCCCCC']"
sorbitol,"['OC', '[C@H](O)[C@@H](O)[C@H](O)', '[C@H](O)', 'CO']"
levothyroxine,"['N[C@@H](', 'CC1=', 'CC(', 'I)', '=C(', 'O', 'C2=', 'CC(', 'I)', '=C(O)', 'C(', 'I)', '=C', '2)', 'C(', 'I)', '=', 'C1)', 'C(O)=O']"
nilutamide,"['CC1(C)', 'NC(=O)', 'N(', 'C1=O)', 'C1=', 'CC(', '=C(', 'C=', 'C1)', '[N+]([O-])=O)', 'C(F)(F)F']"
solriamfetol,"['N[C@@H](', 'CO', 'C(N)=O)', 'CC1=', 'CC=', 'CC', '=C1']"
dolutegravir,"['[H]', '[C@]12', 'CN3', 'C=C(', 'C(=O)N', 'CC4', '=', 'CC', '=C(', 'F)', 'C=C', '4', 'F)', 'C(=O)', 'C(O)', '=C3', 'C(=O)N1', '[C@H](C)', 'CCO', '2']"
nitroglycerin,"['[O-]', '[N+](=O)', 'OCC(', 'CO', '[N+]([O-])=O)', 'O', '[N+]([O-])=O']"
kava,"['CO', 'C1=CC(=O)', 'OC(', 'C1)', '\\', 'C=C\\', 'C1=', 'CCCC', '=C1']"
voriconazole,"['C[C@@H](', 'C1=N', 'C=N', 'C=C1', 'F)', '[C@](O)(', 'CN1', 'C=N', 'C=', 'N1)', 'C1=C(', 'F)', 'C=C(', 'F)', 'C=C1']"
quinine,"['[H]', '[C@]1', '(C', '[C@@H]2CC', '[N@]', '1', 'C[C@@H]2', 'C=C)', '[C@H](O)', 'C1=', 'CC', '=N', 'C2=', 'CC', '=C(', 'OC)', 'C=', 'C12']"
piroxicam,"['CN1', 'C(C(=O)N', 'C2=N', 'C=', 'CC', '=C', '2)', '=C(O)', 'C2=C(', 'C=', 'CC', '=C', '2)', 'S1(=O)=O']"
clavulanic acid,"['[H]', '[C@@]12', 'CC(=O)N1', '[C@@H](', 'C(O)=O)', '\\', 'C(O', '2)', '=C\\', 'CO']"
pregabalin,"['CC(C)', 'C[C@H](', 'CN)', 'CC(O)', '=O']"
macimorelin,"['CC(C)(', 'N)', 'C(=O)N[C@H](', 'CC1=', 'CN', 'C2=', 'CC=', 'CC', '=C1', '2)', 'C(=O)N[C@H](', 'CC1=', 'CN', 'C2=', 'CC=', 'CC', '=C1', '2)', 'NC', '=O']"
octreotide,"['[H]', '[C@]1(', 'NC(=O)[C@H](', 'CCCCN)', 'NC(=O)[C@@H](', 'CC2', '=', 'CN', 'C3', '=C2', 'C=', 'CC', '=C', '3)', 'NC(=O)[C@H](', 'CC2', '=', 'CC=', 'CC', '=C', '2)', 'NC(=O)[C@H](', 'CS', 'S', 'C[C@H](N', 'C1=O)', 'C(=O)N[C@H](', 'CO)', '[C@@H](C)O)', 'NC(=O)[C@H](', 'N)', 'CC1=', 'CC=', 'CC=', 'C1)', '[C@@H](C)', 'O']"
zinc chloride,"['[Cl-]', '.', '[Cl-]', '.', '[Zn++]']"
mefenamic acid,"['CC1', '=C(C)', 'C(N', 'C2=', 'CC=', 'CC', '=C2', 'C(O)=O)', '=', 'CC', '=C1']"
dapsone,"['N', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'S(=O)(=O)', 'C1=', 'CC', '=C(N)', 'C=C1']"
vinblastine,"['[H]', '[C@@]12', 'N(C)', 'C3=', 'CC(', 'OC)', '=C(', 'C=C3', '[C@@]1', '1', 'CCN3', 'CC', '=C', '[C@@]', '(CC)', '(', '[C@@H](OC(C)=O)', '[C@]2(O)', 'C(=O)OC)', '[C@@]13', '[H]', ')', '[C@]1', '(C', '[C@@]2(', '[H]', ')', 'CN(C', '[C@]', '(O)', '(CC)', 'C2)', 'CCC2', '=C1', 'NC1', '=C2', 'C=', 'CC=', 'C1)', 'C(=O)OC']"
fostemsavir,"['CO', 'C1=', 'CN=C(', 'N2C', '=N', 'C(C)', '=N', '2)', 'C2', '=C1', 'C(=', 'CN2', 'CO', 'P(O)(O)=O)', 'C(=O)', 'C(=O)N1CCN(', 'CC1)', 'C(=O)', 'C1=', 'CC=', 'CC', '=C1']"
bupropion,"['CC(N', 'C(C)(C)C)', 'C(=O)', 'C1=', 'CC(', 'Cl)', '=', 'CC', '=C1']"
ketoconazole,"['CC(=O)N1CCN(', 'CC1)', 'C1=', 'CC', '=C(', 'OCC2', 'COC(', 'CN3', 'C=', 'CN', '=C', '3)', '(O', '2)', 'C2=', 'CC', '=C(', 'Cl)', 'C=C2', 'Cl)', 'C=C1']"
moricizine,"['CCO', 'C(=O)N', 'C1=', 'CC2', '=C(', 'S', 'C3=', 'CC=', 'CC', '=C3', 'N2C(=O)', 'CCN2CCOCC2)', 'C=C1']"
triamterene,"['NC1=N', 'C(N)', '=C2', 'N=C(', 'C(N)=N', 'C2=', 'N1)', 'C1=', 'CC=', 'CC', '=C1']"
isocarboxazid,"['CC1=', 'CC(', '=N', 'O1)', 'C(=O)N', 'N', 'CC1=', 'CC=', 'CC', '=C1']"
montelukast,"['OC(=O)', 'CC1(', 'CC1)', 'CS', '[C@H](', 'CCC1', '=', 'CC=', 'CC', '=C1', 'C(O)', '(C)C)', 'C1=', 'CC=', 'CC(', '\\', 'C=C\\', 'C2=N', 'C3=C(', 'C=CC(', 'Cl)', '=C', '3)', 'C=C', '2)', '=C1']"
olaparib,"['F', 'C1=', 'CC', '=C(', 'CC2', '=N', 'NC(=O)', 'C3=', 'CC=', 'CC', '=C2', '3)', 'C=C1', 'C(=O)N1CCN(', 'CC1)', 'C(=O)', 'C1CC1']"
tranylcypromine,"['N', 'C1CC1', 'C1=', 'CC=', 'CC', '=C1']"
metocurine,"['[H]', '[C@@]12', 'CC3', '=', 'CC', '=C(', 'OC4', '=C', '5', 'C(CC', '[N+](C)(C)', '[C@]5', '(', '[H]', ')', 'CC5', '=', 'CC(', 'OC', '6', '=C(', 'OC)', 'C=C(', 'CC', '[N+]1', '(C)C)', 'C2', '=C', '6)', '=C(', 'OC)', 'C=C', '5)', '=', 'CC(', 'OC)', '=C4', 'OC)', 'C=C3']"
eprosartan,"['CCCCC1', '=N', 'C', '=C(\\', 'C', '=C(/', 'CC2', '=', 'CC', '=C', 'S', '2)', 'C(O)=O)', 'N1', 'CC1=', 'CC', '=C(', 'C=', 'C1)', 'C(O)=O']"
ferumoxytol,"['[O--]', '.', '[O--]', '.', '[O--]', '.', '[O--]', '.', '[Fe++]', '.', '[Fe+3]', '.', '[Fe+3]']"
etidronic acid,"['CC(O)(', 'P(O)(O)=O)', 'P(O)(O)', '=O']"
carboplatin,"['[H]', '[N]', '(', '[H]', ')', '(', '[H]', ')', '[Pt]', '1', '(', 'OC(=O)', 'C2(', 'CCC2)', 'C(=O)O', '1)', '[N]', '(', '[H]', ')', '(', '[H]', ')', '[H]']"
mirtazapine,"['CN1', 'CCN2', 'C(', 'C1)', 'C1=', 'CC=', 'CC', '=C1', 'CC1', '=C2', 'N=', 'CC', '=C1']"
alosetron,"['CN1', 'C2=C(', 'C3=', 'CC=', 'CC', '=C1', '3)', 'C(=O)N(', 'CC1', '=C(C)', 'N', 'C=', 'N1)', 'CC2']"
lutein,"['C', '\\', 'C(\\', 'C=C\\', 'C', '=C(/', 'C)', '\\', 'C=C\\', '[C@H]1', 'C(C)', '=C', '[C@H](O)', 'CC1', '(C)C)', '=C', '/C=C', '/C=C(\\C)', '/C=C', '/C=C(\\C)', '/C=C/', 'C1=C(C)', 'C[C@@H](O)', 'CC1(C)C']"
oxybutynin,"['CCN(CC)', 'CC#', 'CCOC(=O)', 'C(O)(', 'C1CCCCC1)', 'C1=', 'CC=', 'CC', '=C1']"
pentoxifylline,"['CN1', 'C=N', 'C2', '=C1', 'C(=O)N(', 'CCCC', 'C(C)=O)', 'C(=O)N2C']"
minoxidil,"['N', 'C1=', 'CC(', '=N', 'C(N)', '=[N+]', '1', '[O-])', 'N1CCCCC1']"
hydralazine,"['N', 'NC1=N', 'N=', 'CC2', '=', 'CC=', 'CC', '=C1', '2']"
oxymorphone,"['[H]', '[C@@]12', 'OC3', '=C(O)', 'C=', 'CC4', '=C3', '[C@@]1', '1', 'CCN(C)', '[C@](', '[H]', ')', '(C', '4)', '[C@]1(O)', 'CCC2', '=O']"
methylergometrine,"['[H]', '[C@@]12', 'CC3', '=', 'CN', 'C4', '=', 'CC=', 'CC(', '=C3', '4)', 'C1=C', '[C@H](', 'CN2', 'C)', 'C(=O)N[C@@H](', 'CC)', 'CO']"
methoxyflurane,"['CO', 'C(F)(F)', 'C(Cl)', 'Cl']"
avatrombopag,"['OC(=O)', 'C1CCN(', 'CC1)', 'C1=C(', 'Cl)', 'C=C(', 'C=', 'N1)', 'C(=O)N', 'C1=N', 'C(', 'C2=', 'CC(', 'Cl)', '=C', 'S', '2)', '=C(', 'S', '1)', 'N1CCN(', 'CC1)', 'C1CCCCC1']"
gadoxetic acid,"['[Gd+3]', '.', '[H]', '[C@@](', 'CN(', 'CCN(', 'CC(', '[O-])', '=O)', 'CC(', '[O-])', '=O)', 'CC(', '[O-])', '=O)(', 'CC1=', 'CC', '=C(', 'OCC)', 'C=', 'C1)', 'N(', 'CC(O)=O)', 'CC(O)', '=O']"
nitric oxide,"['[N]', '=O']"
cisplatin,"['[H]', '[N]', '(', '[H]', ')', '(', '[H]', ')', '[Pt]', '(Cl)', '(Cl)', '[N]', '(', '[H]', ')', '(', '[H]', ')', '[H]']"
tolazoline,"['C(', 'C1=N', 'CCN1', ')', 'C1=', 'CC=', 'CC', '=C1']"
pimozide,"['F', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(', 'CCCN1', 'CCC(', 'CC1)', 'N1', 'C(=O)N', 'C2=', 'CC=', 'CC', '=C1', '2)', 'C1=', 'CC', '=C(', 'F)', 'C=C1']"
lomustine,"['Cl', 'CCN(', 'N', '=O)', 'C(=O)N', 'C1CCCCC1']"
amifostine,"['N', 'CCCN', 'CCS', 'P(O)(O)', '=O']"
delafloxacin,"['NC1=N', 'C(N2', 'C=C(', 'C(O)=O)', 'C(=O)', 'C3=', 'CC', '(F)', '=C(', 'N4', 'CC(O)', 'C4)', 'C(Cl)', '=C2', '3)', '=C(', 'F)', 'C=C1', 'F']"
magaldrate,"['O', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[OH-]', '.', '[Mg++]', '.', '[Mg++]', '.', '[Mg++]', '.', '[Mg++]', '.', '[Mg++]', '.', '[Mg++]', '.', '[Mg++]', '.', '[Mg++]', '.', '[Mg++]', '.', '[Mg++]', '.', '[Al+3]', '.', '[Al+3]', '.', '[Al+3]', '.', '[Al+3]', '.', '[Al+3]', '.', '[O-]', 'S(', '[O-])', '(=O)=O', '.', '[O-]', 'S(', '[O-])', '(=O)=O']"
larotrectinib,"['O[C@H]1', 'CCN(', 'C1)', 'C(=O)N', 'C1', '=C2', 'N=C(', 'C=', 'CN2', 'N=', 'C1)', 'N1', 'CCC[C@@H]1', 'C1=C(', 'F)', 'C=', 'CC', '(F)', '=C1']"
amprenavir,"['CC(C)', 'CN(', 'C[C@@H](O)', '[C@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'NC(=O)', 'O[C@H]1', 'CCO', 'C1)', 'S(=O)(=O)', 'C1=', 'CC', '=C(N)', 'C=C1']"
milnacipran,"['CCN(CC)C(=O)', 'C1(', 'CC1', 'CN)', 'C1=', 'CC=', 'CC', '=C1']"
testolactone,"['[H]', '[C@@]12', 'CCC3', '=CC(=O)', 'C=C', '[C@]3(C)', '[C@@]1(', '[H]', ')', 'CC', '[C@]1(C)', 'OC(=O)', 'CC', '[C@@]21', '[H]']"
nitrous acid,"['O', 'N', '=O']"
nadolol,"['CC(C)(C)N', 'CC(O)CO', 'C1=', 'CC=', 'CC2', '=C1', 'C[C@H](O)', '[C@H](O)', 'C2']"
gadoteric acid,"['[Gd+3]', '.', 'OC(=O)', 'CN1CCN(', 'CC(', '[O-])', '=O)', 'CCN(', 'CC(', '[O-])', '=O)', 'CCN(', 'CC(', '[O-])', '=O)CC1']"
doxepin,"['[H]', 'C(', 'CCN(C)C)', '=C1', 'C2=', 'CC=', 'CC', '=C2', 'CO', 'C2=', 'CC=', 'CC', '=C1', '2']"
doripenem,"['[H]', '[C@]12', '[C@@H](C)', 'C(S', '[C@@H]3', 'CN', '[C@H](', 'CN', 'S(N)(=O)=O)', 'C3)', '=C(', 'N1C(=O)', '[C@]2(', '[H]', ')', '[C@@H](C)O)', 'C(O)=O']"
sunitinib,"['CCN(CC)', 'CCNC(=O)', 'C1=C(C)', 'NC(', '\\', 'C=C2', '/', 'C(=O)N', 'C3', '=C2', 'C=C(', 'F)', 'C=C', '3)', '=C1', 'C']"
ibuprofen,"['CC(C)', 'CC1=', 'CC', '=C(', 'C=', 'C1)', 'C(C)', 'C(O)=O']"
olodaterol,"['CO', 'C1=', 'CC', '=C(', 'CC(C)(C)', 'NC', '[C@H](O)', 'C2', '=C3', 'OCC(=O)N', 'C3=', 'CC(O)', '=C', '2)', 'C=C1']"
sarecycline,"['[H]', '[C@@]12', 'CC3', '=C(', 'CN(C)', 'OC)', 'C=', 'CC(O)', '=C3', 'C(=O)', 'C1=C(O)', '[C@]1(O)', 'C(=O)C(', 'C(N)=O)', '=C(O)', '[C@@H](', 'N(C)C)', '[C@]1(', '[H]', ')', 'C2']"
prasterone enantate,"['[H]', '[C@@]12', 'CCC(=O)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CC', '=C2', 'C[C@H](', 'CC', '[C@]12', 'C)', 'OC(=O)', 'CCCCCC']"
palbociclib,"['CC(=O)', 'C1=C(C)', 'C2=', 'CN', '=C(N', 'C3=N', 'C=C(', 'C=C', '3)', 'N3', 'CCNCC3)', 'N=C2', 'N(', 'C2CCCC2)', 'C1=O']"
naratriptan,"['CNS(=O)(=O)', 'CCC1', '=', 'CC2', '=C(N', 'C=C2', 'C2', 'CCN(C)CC2)', 'C=C1']"
cefotaxime,"['[H]', '[C@]12', 'S', 'CC(', 'COC(C)=O)', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)C(', '=N/', 'OC)', '\\', 'C1=C', 'S', 'C(N)', '=N1', ')', 'C(O)=O']"
mesalazine,"['N', 'C1=', 'CC(', 'C(O)=O)', '=C(O)', 'C=C1']"
loperamide,"['CN(C)', 'C(=O)C(', 'CCN1', 'CCC(O)(', 'CC1)', 'C1=', 'CC', '=C(', 'Cl)', 'C=', 'C1)', '(', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']"
