drug_name,tokens,labels
lincomycin,"['[H]', '[C@]1(', 'C[C@@H](', 'CCC)', 'CN1', 'C)', 'C(=O)N[C@H](', '[C@@H](C)O)', '[C@H]1', 'O[C@H](', 'SC)', '[C@H](O)[C@@H](O)', '[C@H]1O']","[917, 885, 563, 405, 530, 241, 178, 785, 862, 725, 761, 855, 867]"
cladribine,"['NC1', '=C2', 'N=C', 'N(', '[C@H]3', 'C[C@H](O)', '[C@@H](CO)', 'O3)', 'C2=N', 'C(Cl)', '=N1']","[661, 108, 635, 592, 875, 576, 790, 676, 289, 214, 117]"
ivacaftor,"['CC(C)(C)', 'C1=', 'CC(', '=C(O)', 'C=C1', 'NC(=O)', 'C1=', 'CN', 'C2=', 'CC=', 'CC', '=C2', 'C1=O)', 'C(C)(C)C']","[343, 258, 327, 100, 316, 646, 258, 519, 286, 388, 324, 108, 267, 198]"
perampanel,"['O=C1', 'N(C', '=C(', 'C=C1', 'C1=', 'CC=', 'CC', '=C1', 'C#N)', 'C1=N', 'C=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']","[680, 593, 94, 316, 258, 388, 324, 106, 138, 265, 311, 388, 253, 258, 388, 324, 106]"
dicloxacillin,"['[H]', '[C@]12', 'S', 'C(C)(C)', '[C@@H](', 'N1C(=O)', '[C@H]2', 'NC(=O)', 'C1=C(C)', 'O', 'N=C1', 'C1=C(', 'Cl)', 'C=', 'CC', '=C1', 'Cl)', 'C(O)=O']","[917, 888, 742, 197, 781, 613, 870, 646, 261, 670, 640, 260, 584, 311, 324, 106, 584, 234]"
etelcalcetide,"['C[C@@H](', 'NC(=O)[C@@H](', 'CCCN', 'C(N)=N)', 'NC(=O)[C@@H](', 'CCCN', 'C(N)=N)', 'NC(=O)[C@@H](', 'CCCN', 'C(N)=N)', 'NC(=O)', '[C@@H](C)', 'NC(=O)[C@@H](', 'CS', 'S', 'C[C@H](N)', 'C(O)=O)', 'NC(C)=O)', 'C(=O)N[C@H](', 'CCCN', 'C(N)=N)', 'C(N)=O']","[563, 653, 444, 224, 653, 444, 224, 653, 444, 224, 646, 783, 653, 560, 742, 574, 235, 658, 178, 444, 224, 225]"
tiagabine,"['CC1=C(', 'S', 'C=', 'C1)', 'C(=', 'CCCN1', 'CCC[C@H](', 'C1)', 'C(O)=O)', 'C1=C(C)', 'C=C', 'S1']","[372, 742, 311, 253, 140, 449, 460, 253, 235, 261, 312, 754]"
cabotegravir,"['[H]', '[C@@]12', 'CN3', 'C=C(', 'C(=O)N', 'CC4', '=C(', 'F)', 'C=C(', 'F)', 'C=C', '4)', 'C(=O)', 'C(O)', '=C3', 'C(=O)N1', '[C@@H](C)', 'CO2']","[917, 822, 539, 313, 152, 385, 94, 586, 313, 586, 312, 82, 146, 231, 109, 157, 783, 550]"
ibandronate,"['CCCC', 'CN(C)', 'CCC(O)(', 'P(O)(O)=O)', 'P(O)(O)', '=O']","[415, 523, 403, 741, 740, 120]"
amprenavir,"['CC(C)', 'CN(', 'C[C@@H](O)', '[C@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'NC(=O)', 'O[C@H]1', 'CCO', 'C1)', 'S(=O)(=O)', 'C1=', 'CC', '=C(N)', 'C=C1']","[341, 520, 567, 839, 371, 388, 388, 253, 646, 731, 491, 253, 745, 258, 324, 99, 316]"
pegvaliase,"['COCCO', 'CCCC', 'CC(=O)N', 'CCCC', '[C@H](N)', 'C(O)=O']","[557, 415, 329, 415, 851, 234]"
picosulfuric acid,"['O', 'S(=O)(=O)', 'O', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(', 'C1=', 'CC', '=C(', 'O', 'S', '(O)', '(=O)=O)', 'C=', 'C1)', 'C1=', 'CC=', 'CC=', 'N1']","[670, 745, 670, 258, 324, 94, 311, 253, 139, 258, 324, 94, 670, 742, 54, 34, 311, 253, 258, 388, 388, 609]"
suvorexant,"['[H]', '[C@@]1(C)', 'CCN(', 'CCN1C(=O)', 'C1=C(', 'C=', 'CC(C)=', 'C1)', 'N1', 'N=', 'CC=', 'N1)', 'C1=N', 'C2=C(', 'O1)', 'C=CC(', 'Cl)', '=C2']","[917, 819, 464, 481, 260, 311, 347, 253, 609, 634, 388, 610, 265, 287, 673, 319, 584, 108]"
floxuridine,"['OC[C@H]1', 'O[C@H](', 'C[C@@H]1', 'O)', 'N1', 'C=C(', 'F)', 'C(=O)N', 'C1=O']","[717, 725, 568, 671, 609, 313, 586, 152, 266]"
gadoxetic acid,"['[Gd+3]', '.', '[H]', '[C@@](', 'CN(', 'CCN(', 'CC(', '[O-])', '=O)', 'CC(', '[O-])', '=O)', 'CC(', '[O-])', '=O)(', 'CC1=', 'CC', '=C(', 'OCC)', 'C=', 'C1)', 'N(', 'CC(O)=O)', 'CC(O)', '=O']","[915, 60, 917, 814, 520, 464, 327, 945, 121, 327, 945, 121, 327, 945, 122, 371, 324, 94, 702, 311, 253, 592, 362, 360, 120]"
ethambutol,"['CC[C@@H](', 'CO)', 'N', 'CCN', '[C@@H](CC)', 'CO']","[504, 548, 590, 463, 788, 547]"
moexipril,"['CCOC(=O)', '[C@H](', 'CCC1', '=', 'CC=', 'CC=', 'C1)', 'N', '[C@@H](C)', 'C(=O)N1', 'CC2', '=', 'CC(', 'OC)', '=C(', 'OC)', 'C=C2', 'C[C@H]1', 'C(O)=O']","[495, 839, 406, 92, 388, 388, 253, 590, 783, 157, 377, 92, 327, 692, 94, 692, 317, 577, 234]"
entecavir,"['N', 'C1=', 'NC(=O)', 'C2=C(', 'N1)', 'N(C', '=N', '2)', '[C@H]1', 'C[C@H](O)', '[C@@H](CO)', 'C1=C']","[590, 258, 646, 287, 610, 593, 113, 74, 862, 576, 790, 259]"
mitotane,"['Cl', 'C(Cl)', 'C(', 'C1=', 'CC', '=C(', 'Cl)', 'C=', 'C1)', 'C1=', 'CC=', 'CC', '=C1', 'Cl']","[583, 214, 139, 258, 324, 94, 584, 311, 253, 258, 388, 324, 106, 583]"
clofibrate,"['CCOC(=O)', 'C(C)(C)O', 'C1=', 'CC', '=C(', 'Cl)', 'C=C1']","[495, 200, 258, 324, 94, 584, 316]"
indomethacin,"['CO', 'C1=', 'CC2', '=C(', 'C=', 'C1)', 'N(C(=O)', 'C1=', 'CC', '=C(', 'Cl)', 'C=', 'C1)', 'C(C)', '=C2', 'CC(O)', '=O']","[547, 258, 377, 94, 311, 253, 594, 258, 324, 94, 584, 311, 253, 195, 108, 360, 120]"
isosorbide mononitrate,"['[H]', '[C@]12', 'OC', '[C@@H](O', '[N+]([O-])=O)', '[C@@]1(', '[H]', ')', 'OC', '[C@@H]2O']","[917, 888, 684, 794, 932, 818, 917, 59, 684, 807]"
letermovir,"['CO', 'C1=', 'CC=', 'CC(', '=', 'C1)', 'N1CCN(', 'CC1)', 'C1=N', 'C2=C(', 'C=', 'CC', '=C2', 'F)', '[C@H](', 'CC(O)=O)', 'N1', 'C1=', 'CC(', '=', 'CC', '=C1', 'OC)', 'C(F)(F)F']","[547, 258, 388, 327, 92, 253, 619, 369, 265, 287, 311, 324, 108, 586, 839, 362, 609, 258, 327, 92, 324, 106, 692, 218]"
promazine,"['CN(C)', 'CCCN1', 'C2=', 'CC=', 'CC', '=C2', 'S', 'C2=', 'CC=', 'CC', '=C1', '2']","[523, 449, 286, 388, 324, 108, 742, 286, 388, 324, 106, 73]"
sildenafil,"['CCCC1', '=N', 'N(C)', 'C2', '=C1', 'N=C(N', 'C2=O)', 'C1=', 'CC(', '=', 'CC', '=C1', 'OCC)', 'S(=O)(=O)N1', 'CCN(C)CC1']","[421, 113, 596, 281, 106, 637, 291, 258, 327, 92, 324, 106, 702, 747, 471]"
risedronic acid,"['OC(', 'CC1=', 'CN', '=', 'CC=', 'C1)', '(', 'P(O)(O)=O)', 'P(O)(O)', '=O']","[685, 371, 519, 92, 388, 253, 31, 741, 740, 120]"
progesterone,"['[H]', '[C@@]12', 'CC[C@H](', 'C(C)=O)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CCC2', '=CC(=O)', 'CC', '[C@]12C']","[917, 822, 510, 204, 820, 818, 917, 59, 824, 917, 59, 410, 111, 324, 889]"
cefprozil,"['[H]', '[C@]12', 'S', 'CC(', 'C=', 'CC)', '=C(', 'N1C(=O)', '[C@@]2(', '[H]', ')', 'NC(=O)[C@H](', 'N)', 'C1=', 'CC', '=C(O)', 'C=', 'C1)', 'C(O)=O']","[917, 888, 742, 327, 311, 364, 94, 613, 824, 917, 59, 655, 606, 258, 324, 100, 311, 253, 234]"
ceritinib,"['CC(C)O', 'C1=C(', 'N', 'C2=N', 'C=C(', 'Cl)', 'C(N', '2)', '=N', 'C2=', 'CC=', 'CC', '=C2', 'S(=O)(=O)', 'C(C)C)', 'C=C(C)', 'C(=', 'C1)', 'C1', 'CCNCC1']","[351, 260, 590, 289, 313, 584, 221, 74, 113, 286, 388, 324, 108, 745, 206, 314, 140, 253, 249, 488]"
ketoprofen,"['CC(', 'C(O)=O)', 'C1=', 'CC(', '=', 'CC=', 'C1)', 'C(=O)', 'C1=', 'CC=', 'CC', '=C1']","[327, 235, 258, 327, 92, 388, 253, 146, 258, 388, 324, 106]"
amphetamine,"['CC(N)', 'CC1=', 'CC=', 'CC', '=C1']","[356, 371, 388, 324, 106]"
dofetilide,"['CN(', 'CCO', 'C1=', 'CC', '=C(N', 'S(C)(=O)=O)', 'C=', 'C1)', 'CCC1', '=', 'CC', '=C(N', 'S(C)(=O)=O)', 'C=C1']","[520, 491, 258, 324, 98, 750, 311, 253, 406, 92, 324, 98, 750, 316]"
phenylbutazone,"['CCCCC1', 'C(=O)N(', 'N(', 'C1=O)', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC=', 'CC', '=C1']","[430, 153, 592, 267, 258, 388, 388, 253, 258, 388, 324, 106]"
triprolidine,"['CC1=', 'CC', '=C(', 'C=', 'C1)', 'C(=C/', 'CN1', 'CCCC1)', '\\', 'C1=', 'CC=', 'CC=', 'N1']","[371, 324, 94, 311, 253, 142, 530, 422, 957, 258, 388, 388, 609]"
acyclovir,"['N', 'C1=', 'NC(=O)', 'C2=C(', 'N1)', 'N(', 'CO', 'CCO)', 'C=', 'N2']","[590, 258, 646, 287, 610, 592, 547, 492, 311, 622]"
calcium lactate,"['[Ca++]', '.', 'CC(O)', 'C(', '[O-])', '=O', '.', 'CC(O)', 'C(', '[O-])', '=O']","[902, 60, 360, 139, 945, 120, 60, 360, 139, 945, 120]"
betamethasone,"['[H]', '[C@@]12', 'C[C@H](C)', '[C@](O)(', 'C(=O)', 'CO)', '[C@@]1', '(C)C', '[C@H](O)', '[C@@]1', '(F)', '[C@@]2(', '[H]', ')', 'CCC2', '=CC(=O)', 'C=C', '[C@]12C']","[917, 822, 572, 883, 146, 548, 817, 40, 854, 817, 47, 824, 917, 59, 410, 111, 312, 889]"
fulvestrant,"['[H]', '[C@@]12', 'CC[C@H](O)', '[C@@]1(C)CC', '[C@]1(', '[H]', ')', 'C3=', 'CC', '=C(O)', 'C=C3', 'C[C@@H](', 'CCCCCCCC', 'C', 'S(=O)', 'CCCC', '(F)(F)', 'C(F)(F)F)', '[C@@]21', '[H]']","[917, 822, 513, 820, 885, 917, 59, 299, 324, 100, 318, 563, 437, 134, 744, 415, 48, 219, 827, 917]"
carboplatin,"['[H]', '[N]', '(', '[H]', ')', '(', '[H]', ')', '[Pt]', '1', '(', 'OC(=O)', 'C2(', 'CCC2)', 'C(=O)O', '1)', '[N]', '(', '[H]', ')', '(', '[H]', ')', '[H]']","[917, 941, 31, 917, 59, 31, 917, 59, 948, 71, 31, 686, 282, 411, 180, 72, 941, 31, 917, 59, 31, 917, 59, 917]"
sodium acetate,"['[Na+]', '.', 'CC(', '[O-])', '=O']","[942, 60, 327, 945, 120]"
eslicarbazepine,"['NC(=O)N1', 'C2=C(', 'C[C@H](O)', 'C3', '=C1', 'C=', 'CC', '=C', '3)', 'C=', 'CC', '=C2']","[652, 287, 576, 295, 106, 311, 324, 93, 78, 311, 324, 108]"
trimethoprim,"['CO', 'C1=', 'CC(', 'CC2', '=', 'CN=C(', 'N)N', '=C2', 'N)', '=', 'CC(', 'OC)', '=C1', 'OC']","[547, 258, 327, 377, 92, 541, 608, 108, 606, 92, 327, 692, 106, 684]"
sulindac,"['CC1=C(', 'CC(O)=O)', 'C2=', 'CC', '(F)', '=', 'CC', '=C2', '\\', 'C1', '=C/', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'S(C)', '=O']","[372, 362, 286, 324, 47, 92, 324, 108, 957, 249, 103, 258, 324, 94, 311, 253, 748, 120]"
levomilnacipran,"['CCN(CC)C(=O)', '[C@]1(', 'C[C@H]1', 'CN)', 'C1=', 'CC=', 'CC', '=C1']","[477, 885, 577, 529, 258, 388, 324, 106]"
cisplatin,"['[H]', '[N]', '(', '[H]', ')', '(', '[H]', ')', '[Pt]', '(Cl)', '(Cl)', '[N]', '(', '[H]', ')', '(', '[H]', ')', '[H]']","[917, 941, 31, 917, 59, 31, 917, 59, 948, 46, 46, 941, 31, 917, 59, 31, 917, 59, 917]"
venlafaxine,"['CO', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(', 'CN(C)C)', 'C1(O)', 'CCCCC1']","[547, 258, 324, 94, 311, 253, 139, 526, 252, 430]"
osilodrostat,"['F', 'C1=C(', 'C=CC(', '=', 'C1)', 'C#N)', '[C@H]1', 'CCC2', '=', 'CN', '=', 'CN1', '2']","[585, 260, 319, 92, 253, 138, 862, 410, 92, 519, 92, 530, 73]"
rapacuronium,"['[H]', '[C@@]12', 'C[C@@H](', '[C@H](OC(=O)', 'CC)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CC', '[C@@]2(', '[H]', ')', 'C[C@H](', 'OC(C)=O)', '[C@H](', 'C[C@]12', 'C)', 'N1', 'CCCCC1)', '[N+]1', '(', 'CC=C)', 'CCCCC1']","[917, 822, 563, 859, 364, 820, 818, 917, 59, 824, 917, 59, 324, 824, 917, 59, 571, 690, 839, 582, 241, 609, 431, 933, 31, 390, 430]"
mezlocillin,"['[H]', '[C@]12', 'S', 'C(C)(C)', '[C@@H](', 'N1C(=O)', '[C@H]2', 'NC(=O)[C@H](', 'N', 'C(=O)N1CCN(', 'C1=O)', 'S(C)(=O)=O)', 'C1=', 'CC=', 'CC=', 'C1)', 'C(O)=O']","[917, 888, 742, 197, 781, 613, 870, 655, 590, 160, 267, 750, 258, 388, 388, 253, 234]"
vibegron,"['[H]', '[C@@]1(', 'CC[C@@H](', 'CC2', '=', 'CC', '=C(', 'NC(=O)', '[C@@H]3', 'CCC4', '=N', 'C=', 'CC(=O)N3', '4)', 'C=C', '2)', 'N1)', '[C@H](O)', 'C1=', 'CC=', 'CC', '=C1']","[917, 818, 504, 377, 92, 324, 94, 646, 810, 414, 113, 311, 334, 82, 312, 74, 610, 854, 258, 388, 324, 106]"
ambenonium,"['CC', '[N+]', '(CC)', '(', 'CCNC(=O)', 'C(=O)NCC', '[N+]', '(CC)', '(CC)', 'CC1=', 'CC=', 'CC', '=C1', 'Cl)', 'CC1=', 'CC=', 'CC', '=C1', 'Cl']","[324, 923, 44, 31, 487, 171, 923, 44, 44, 371, 388, 324, 106, 584, 371, 388, 324, 106, 583]"
cenobamate,"['NC(=O)', 'O[C@@H](', 'CN1', 'N=', 'CN', '=N1', ')', 'C1=C(', 'Cl)', 'C=', 'CC', '=C1']","[646, 721, 530, 634, 519, 117, 59, 260, 584, 311, 324, 106]"
lansoprazole,"['CC1=C(', 'OCC', '(F)(F)F)', 'C=', 'CN', '=C1', 'C', 'S(=O)', 'C1=N', 'C2=', 'CC=', 'CC', '=C2', 'N1']","[372, 698, 49, 311, 519, 106, 134, 744, 265, 286, 388, 324, 108, 609]"
tocainide,"['CC(N)', 'C(=O)N', 'C1=C(C)', 'C=', 'CC', '=C1', 'C']","[356, 152, 261, 311, 324, 106, 134]"
clonidine,"['Cl', 'C1=', 'CC=', 'CC(', 'Cl)', '=C1', 'NC1=N', 'CCN1']","[583, 258, 388, 327, 584, 106, 662, 479]"
oxymetholone,"['[H]', '[C@@]12', 'CC', '[C@](C)(O)', '[C@@]1(C)CC', '[C@@]1(', '[H]', ')', '[C@@]2(', '[H]', ')', 'CC', '[C@@]2(', '[H]', ')', 'CC(=O)', '\\', 'C(', 'C[C@]12', 'C)', '=C/', 'O']","[917, 822, 324, 882, 820, 818, 917, 59, 824, 917, 59, 324, 824, 917, 59, 328, 957, 139, 582, 241, 103, 670]"
estazolam,"['Cl', 'C1=', 'CC2', '=C(', 'C=', 'C1)', 'N1C', '=N', 'N=C1', 'CN', '=C2', 'C1=', 'CC=', 'CC', '=C1']","[583, 258, 377, 94, 311, 253, 612, 113, 640, 519, 108, 258, 388, 324, 106]"
ioversol,"['OCC', 'N(C(=O)', 'CO)', 'C1=C(', 'I)', 'C(C(=O)N', 'CC(O)', 'CO)', '=C(', 'I)', 'C(C(=O)N', 'CC(O)', 'CO)', '=C1', 'I']","[698, 594, 548, 260, 589, 193, 360, 548, 94, 589, 193, 360, 548, 106, 588]"
sulfamethizole,"['CC1=N', 'N=C(', 'NS(=O)(=O)', 'C2=', 'CC', '=C(N)', 'C=C', '2)', 'S1']","[373, 636, 666, 286, 324, 99, 312, 74, 754]"
delavirdine,"['CC(C)N', 'C1=C(', 'N=', 'CC=', 'C1)', 'N1CCN(', 'CC1)', 'C(=O)', 'C1=', 'CC2', '=C(', 'N1)', 'C=', 'CC(N', 'S(C)(=O)=O)', '=C2']","[350, 260, 634, 388, 253, 619, 369, 146, 258, 377, 94, 610, 311, 355, 750, 108]"
fedratinib,"['CC1=', 'CN', '=C(N', 'C2=', 'CC', '=C(', 'OCC', 'N3', 'CCCC3)', 'C=C', '2)', 'N=C1', 'N', 'C1=', 'CC=', 'CC(', '=', 'C1)', 'S(=O)(=O)N', 'C(C)(C)C']","[371, 519, 98, 286, 324, 94, 698, 631, 426, 312, 74, 640, 590, 258, 388, 327, 92, 253, 746, 198]"
bismuth subsalicylate,"['O', '[Bi]', '1', 'OC(=O)', 'C2=', 'CC=', 'CC', '=C2', 'O1']","[670, 779, 71, 686, 286, 388, 324, 108, 672]"
nalmefene,"['[H]', '[C@@]12', 'OC3', '=C(O)', 'C=', 'CC4', '=C3', '[C@@]1', '1', 'CCN(', 'CC3CC3)', '[C@](', '[H]', ')', '(C', '4)', '[C@]1(O)', 'CCC2', '=C']","[917, 822, 696, 100, 311, 385, 109, 817, 71, 464, 384, 880, 917, 59, 36, 82, 887, 410, 93]"
ioflupane i-123,"['[H]', '[C@]12', 'CC', '[C@](', '[H]', ')', '(', '[C@H](', '[C@H](', 'C1)', 'C1=', 'CC', '=C(', '[123I]', ')', 'C=', 'C1)', 'C(=O)OC)', 'N2', 'CCC', 'F']","[917, 888, 324, 880, 917, 59, 31, 839, 839, 253, 258, 324, 94, 764, 59, 311, 253, 184, 622, 391, 585]"
paricalcitol,"['[H]', '[C@@]1', '(CC', '[C@@]2(', '[H]', ')', '\\', 'C(', 'CCC', '[C@]12', 'C)', '=C\\', 'C=C1', 'C[C@@H](O)', 'C[C@H](O)', 'C1)', '[C@H](C)', '\\', 'C=C\\', '[C@H](C)', 'C(C)(C)O']","[917, 817, 43, 824, 917, 59, 957, 139, 391, 888, 241, 112, 316, 567, 576, 253, 842, 957, 321, 842, 200]"
perphenazine,"['OCC', 'N1CCN(', 'CCCN2', 'C3=', 'CC=', 'CC', '=C3', 'S', 'C3', '=C2', 'C=C(', 'Cl)', 'C=C', '3)CC1']","[698, 619, 451, 299, 388, 324, 109, 742, 295, 108, 313, 584, 312, 79]"
chromic chloride,"['[Cl-]', '.', '[Cl-]', '.', '[Cl-]', '.', '[Cr+3]']","[904, 60, 904, 60, 904, 60, 908]"
esomeprazole,"['CO', 'C1=', 'CC2', '=C(', 'NC(', '=N', '2)', '[S@@]', '(=O)', 'CC2', '=N', 'C=C(C)', 'C(OC)', '=C2', 'C)', 'C=C1']","[547, 258, 377, 94, 643, 113, 74, 950, 32, 377, 113, 314, 237, 108, 241, 316]"
ticlopidine,"['Cl', 'C1=', 'CC=', 'CC', '=C1', 'CN1', 'CCC2', '=C(', 'C1)', 'C=C', 'S2']","[583, 258, 388, 324, 106, 530, 410, 94, 253, 312, 756]"
levocetirizine,"['OC(=O)', 'CO', 'CCN1CCN(', 'CC1)', '[C@H](', 'C1=', 'CC=', 'CC=', 'C1)', 'C1=', 'CC', '=C(', 'Cl)', 'C=C1']","[686, 547, 483, 369, 839, 258, 388, 388, 253, 258, 324, 94, 584, 316]"
cloxacillin,"['[H]', '[C@]12', 'S', 'C(C)(C)', '[C@@H](', 'N1C(=O)', '[C@H]2', 'NC(=O)', 'C1=C(C)', 'O', 'N=C1', 'C1=', 'CC=', 'CC', '=C1', 'Cl)', 'C(O)=O']","[917, 888, 742, 197, 781, 613, 870, 646, 261, 670, 640, 258, 388, 324, 106, 584, 234]"
nateglinide,"['CC(C)', '[C@H]1', 'CC[C@@H](', 'CC1)', 'C(=O)N[C@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'C(O)=O']","[341, 862, 504, 369, 178, 371, 388, 388, 253, 234]"
rifamycin,"['CO[C@H]1', '\\', 'C=C\\', 'O', '[C@@]2(C)', 'OC3', '=C(C)', 'C(O)', '=C4', 'C(O)=C(', 'NC(=O)', '\\', 'C(C)', '=C/C=C/', '[C@H](C)', '[C@H](O)', '[C@@H](C)', '[C@@H](O)', '[C@@H](C)', '[C@H](OC(C)=O)', '[C@@H]1', 'C)', 'C=C(', 'O)', 'C4', '=C3', 'C2=O']","[559, 957, 321, 670, 825, 696, 97, 231, 110, 233, 646, 957, 195, 105, 842, 854, 783, 795, 783, 860, 801, 241, 313, 671, 305, 109, 290]"
tranylcypromine,"['N', 'C1CC1', 'C1=', 'CC=', 'CC', '=C1']","[590, 271, 258, 388, 324, 106]"
sulfadoxine,"['CO', 'C1=N', 'C=N', 'C(N', 'S(=O)(=O)', 'C2=', 'CC', '=C(N)', 'C=C', '2)', '=C1', 'OC']","[547, 265, 322, 221, 745, 286, 324, 99, 312, 74, 106, 684]"
metocurine,"['[H]', '[C@@]12', 'CC3', '=', 'CC', '=C(', 'OC4', '=C', '5', 'C(CC', '[N+](C)(C)', '[C@]5', '(', '[H]', ')', 'CC5', '=', 'CC(', 'OC', '6', '=C(', 'OC)', 'C=C(', 'CC', '[N+]1', '(C)C)', 'C2', '=C', '6)', '=C(', 'OC)', 'C=C', '5)', '=', 'CC(', 'OC)', '=C4', 'OC)', 'C=C3']","[917, 822, 382, 92, 324, 94, 697, 93, 85, 207, 928, 900, 31, 917, 59, 387, 92, 327, 684, 87, 94, 692, 313, 324, 933, 41, 281, 93, 88, 94, 692, 312, 86, 92, 327, 692, 110, 692, 318]"
montelukast,"['OC(=O)', 'CC1(', 'CC1)', 'CS', '[C@H](', 'CCC1', '=', 'CC=', 'CC', '=C1', 'C(O)', '(C)C)', 'C1=', 'CC=', 'CC(', '\\', 'C=C\\', 'C2=N', 'C3=C(', 'C=CC(', 'Cl)', '=C', '3)', 'C=C', '2)', '=C1']","[686, 366, 369, 560, 839, 406, 92, 388, 324, 106, 231, 41, 258, 388, 327, 957, 321, 289, 300, 319, 584, 93, 78, 312, 74, 106]"
bortezomib,"['CC(C)', 'C[C@H](', 'NC(=O)[C@H](', 'CC1=', 'CC=', 'CC=', 'C1)', 'NC(=O)', 'C1=', 'CN', '=', 'CC=', 'N1)', 'B(O)', 'O']","[341, 571, 655, 371, 388, 388, 253, 646, 258, 519, 92, 388, 610, 131, 670]"
pyrimethamine,"['CCC1', '=C(', 'C(N)=N', 'C(N)', '=N1', ')', 'C1=', 'CC', '=C(', 'Cl)', 'C=C1']","[406, 94, 223, 222, 117, 59, 258, 324, 94, 584, 316]"
diflunisal,"['OC(=O)', 'C1=C(O)', 'C=CC(', '=', 'C1)', 'C1=C(', 'F)', 'C=C(', 'F)', 'C=C1']","[686, 263, 319, 92, 253, 260, 586, 313, 586, 316]"
ceftibuten,"['[H]', '[C@]12', 'S', 'CC', '=C(', 'N1C(=O)', '[C@H]2', 'NC(=O)C(', '=C/', 'CC(O)=O)', '\\', 'C1=C', 'S', 'C(N)', '=N1', ')', 'C(O)=O']","[917, 888, 742, 324, 94, 613, 870, 648, 103, 362, 957, 259, 742, 222, 117, 59, 234]"
halazepam,"['FC(F)(F)', 'CN1', 'C2=C(', 'C=C(', 'Cl)', 'C=C', '2)', 'C(=N', 'CC1', '=O)', 'C1=', 'CC=', 'CC', '=C1']","[587, 530, 287, 313, 584, 312, 74, 143, 365, 121, 258, 388, 324, 106]"
sodium glycerophosphate,"['[Na+]', '.', '[Na+]', '.', 'OCC(O)', 'CO', 'P', '([O-])', '([O-])', '=O']","[942, 60, 942, 60, 701, 547, 734, 58, 58, 120]"
methimazole,"['CN1', 'C=', 'CN', 'C1=S']","[530, 311, 519, 268]"
isotretinoin,"['C', '\\', 'C(\\', 'C=C\\', 'C1=C(C)', 'CCCC1', '(C)C)', '=C', '/C=C/C(', '/', 'C)', '=C\\', 'C(O)=O']","[134, 957, 240, 321, 261, 421, 41, 93, 68, 61, 241, 112, 234]"
diazoxide,"['CC1=N', 'S(=O)(=O)', 'C2=C(', 'N1)', 'C=CC(', 'Cl)', '=C2']","[373, 745, 287, 610, 319, 584, 108]"
voxelotor,"['CC(C)', 'N1', 'N=', 'CC', '=C1', 'C1=C(', 'CO', 'C2=', 'CC=', 'CC(O)', '=C2', 'C=O)', 'C=', 'CC=', 'N1']","[341, 609, 634, 324, 106, 260, 547, 286, 388, 360, 108, 323, 311, 388, 609]"
toremifene,"['CN(C)', 'CCO', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'C(', '=C(\\', 'CC', 'Cl)', 'C1=', 'CC=', 'CC=', 'C1)', '\\', 'C1=', 'CC=', 'CC', '=C1']","[523, 491, 258, 324, 94, 311, 253, 139, 101, 324, 584, 258, 388, 388, 253, 957, 258, 388, 324, 106]"
cinacalcet,"['C[C@@H](', 'N', 'CCCC1', '=', 'CC(', '=', 'CC=', 'C1)', 'C(F)(F)F)', 'C1=', 'CC=', 'CC2', '=', 'CC=', 'CC', '=C1', '2']","[563, 590, 421, 92, 327, 92, 388, 253, 219, 258, 388, 377, 92, 388, 324, 106, 73]"
dapsone,"['N', 'C1=', 'CC', '=C(', 'C=', 'C1)', 'S(=O)(=O)', 'C1=', 'CC', '=C(N)', 'C=C1']","[590, 258, 324, 94, 311, 253, 745, 258, 324, 99, 316]"
remimazolam,"['COC(=O)', 'CC[C@@H]1', 'N=C(', 'C2=', 'CC=', 'CC', '=N', '2)', 'C2=', 'CC(', 'Br)', '=', 'CC', '=C2', 'N2', 'C(C)', '=', 'CN', '=C1', '2']","[553, 507, 636, 286, 388, 324, 113, 74, 286, 327, 133, 92, 324, 108, 622, 195, 92, 519, 106, 73]"
delafloxacin,"['NC1=N', 'C(N2', 'C=C(', 'C(O)=O)', 'C(=O)', 'C3=', 'CC', '(F)', '=C(', 'N4', 'CC(O)', 'C4)', 'C(Cl)', '=C2', '3)', '=C(', 'F)', 'C=C1', 'F']","[662, 228, 313, 235, 146, 299, 324, 47, 94, 633, 360, 306, 214, 108, 78, 94, 586, 316, 585]"
niraparib,"['NC(=O)', 'C1=', 'CC=', 'CC2', '=C', 'N(', 'N=C1', '2)', 'C1=', 'CC', '=C(', 'C=', 'C1)', '[C@@H]1', 'CCCN', 'C1']","[646, 258, 388, 377, 93, 592, 640, 74, 258, 324, 94, 311, 253, 801, 444, 249]"
